location,num_postings,posting_ids,number_of_sweeps,geometry
Bancroft Ave between 55th Ave and Hilton St,6,[  35  884 1445 1662 1702 2053],6,"LINESTRING (-122.1972896 37.771655, -122.1960152 37.771483)"
Bancroft between Cole St and 55th St,2,[ 34 883],2,"LINESTRING (-122.1972896 37.771655, -122.1985941 37.7717701)"
55th Ave between Bancroft Ave & Hilton St,2,[ 33 888],2,"LINESTRING (-122.1972896 37.771655, -122.1966852 37.7720761)"
E 8th St between 36th Ave and 37th Ave,1,[ 926 ],1,"LINESTRING (-122.2247729 37.7717751, -122.22382609648639 37.77131548321504)"
High St between E 12th St Pl & International Blvd,3,[452 480 507],1,"LINESTRING (-122.2156127 37.7717942, -122.214929 37.7723115)"
San Leandro St between 40th Ave & 41st Ave,1,[ 157 ],1,"LINESTRING (-122.2197037 37.77184889999999, -122.2187894 37.7714139)"
37th Ave between E. 9th St and San Leandro St,1,[ 12 ],1,"LINESTRING (-122.2234689 37.77193560000001, -122.22340616419882 37.77192796403007, -122.22332574940391 37.771979971161144, -122.2224479 37.7731656)"
E. 12th St between 42nd Ave and High St,3,[445 473 500],1,"LINESTRING (-122.217257 37.7719818, -122.2161034 37.7714223)"
42nd Ave between International and E 12th St | 42nd Avenue between E. 12th Street & International Blvd,4,[ 458  486  513 1972],2,"LINESTRING (-122.217257 37.7719818, -122.21593845872081 37.7729301680738)"
46th Ave between Bancroft Ave and Bond St,1,[ 165 ],1,"LINESTRING (-122.2107565 37.772071, -122.2101309 37.772909)"
Hilton St between 55th Ave and Bancroft Ave,2,[ 37 882],2,"LINESTRING (-122.1966852 37.7720761, -122.1960152 37.771483)"
Foothill blvd between Trask St and 57th Ave,1,[ 890 ],1,"LINESTRING (-122.19389403275586 37.77223798825312, -122.19589803275586 37.77261258825312)"
E 9th St between 36th Ave and 37th Ave,4,[ 929 1082 1091 1371],3,"LINESTRING (-122.2244196 37.7722468, -122.2234689 37.77193560000001)"
E 8th St between 34th Ave and 36th Ave,1,[ 927 ],1,"LINESTRING (-122.2260143 37.7723442, -122.2247729 37.7717751)"
E 8th St between Fruitvale Ave and 34th Ave,1,[ 928 ],1,"LINESTRING (-122.2260143 37.7723442, -122.2280768 37.7729751)"
E. 12th St between 41st Ave and 42nd Ave,3,[446 474 501],1,"LINESTRING (-122.2180546 37.7723636, -122.217257 37.7719818)"
E 9th St between 35th Ave and 36th Ave,4,[ 930 1083 1092 1370],3,"LINESTRING (-122.2254685 37.7726035, -122.2244196 37.7722468)"
55th Ave between Hilton St & Foothill Blvd,2,[ 32 887],2,"LINESTRING (-122.1959321 37.7726081, -122.1966852 37.7720761)"
Foothill Blvd between 55th Ave and 57th Ave,1,[ 993 ],1,"LINESTRING (-122.19586964338573 37.77259463509546, -122.19386564338573 37.77222003509546)"
55th Ave between Foothill Blvd and Laverne Ave,1,[ 995 ],1,"LINESTRING (-122.1959321 37.7726081, -122.1949529 37.77328929999999)"
45th Avenue between Bancroft Avenue and Bond Street,2,[ 159 2005],2,"LINESTRING (-122.2120126 37.772656, -122.2113813 37.7735015)"
E. 12th St between 40th Ave and 41st Ave,3,[447 475 502],1,"LINESTRING (-122.21896127577759 37.77279172026491, -122.2180546 37.7723636)"
38th Ave between Wattling St and San Leandro St,2,[1629 1643],2,"LINESTRING (-122.2215347 37.7727298, -122.2221753 37.7718517)"
San Leandro St between 38th Ave and 39th Ave,3,[1221 1627 1641],3,"LINESTRING (-122.2215347 37.7727298, -122.2206199 37.7722853)"
Brann St between 62nd Ave and 64th Ave,1,[ 2144 ],1,"LINESTRING (-122.1845379 37.7727474, -122.1832829 37.7715972)"
62nd Ave between Brann St and Camden St,1,[ 2142 ],1,"LINESTRING (-122.1845379 37.7727474, -122.1834228 37.7736695)"
E 9th St between 34th Ave and 35th Ave,4,[ 931 1084 1093 1369],3,"LINESTRING (-122.2262624 37.7728633, -122.2254685 37.7726035)"
46th Ave between Bond St and Foothill Blvd,1,[ 164 ],1,"LINESTRING (-122.2101309 37.772909, -122.2095943 37.7736285)"
Camden St between 63rd St and 64th St,1,[ 2140 ],1,"LINESTRING (-122.1827343 37.7730424, -122.182042 37.7724113)"
E 9th St between 33rd Ave and 34th Ave,4,[ 932 1085 1094 1368],3,"LINESTRING (-122.2270365 37.7731314, -122.2262624 37.7728633)"
E 9th St between Fruitvale Ave and 33rd Ave,4,[ 933 1086 1095 1367],3,"LINESTRING (-122.2270365 37.7731314, -122.2278698 37.77348569999999)"
San Leandro St between 37th Ave and 38th Ave,3,[1222 1628 1642],3,"LINESTRING (-122.2224479 37.7731656, -122.2215347 37.7727298)"
Laverne Ave between 55th Ave and Foothill Blvd,1,[ 996 ],1,"LINESTRING (-122.1949529 37.77328929999999, -122.1939307866821 37.77240867095747, -122.19388228306795 37.77227622465328)"
Bond St between 45th Ave and 46th Ave,2,[ 162 1145],2,"LINESTRING (-122.2113813 37.7735015, -122.2101309 37.772909)"
Bond St between High St and 45th Ave,4,[ 161 1146 1583 1620],4,"LINESTRING (-122.2113813 37.7735015, -122.21219621113605 37.773896778074096, -122.2125208 37.7741284)"
45th Ave between Foothill Blvd and Bond St,4,[ 158 1143 1584 1621],4,"LINESTRING (-122.2113813 37.7735015, -122.2108379 37.774221)"
MacArthur Blvd between 64th Ave Pl and 65th Ave,1,[ 2153 ],1,"LINESTRING (-122.1793341 37.7736338, -122.1786576 37.7731153)"
Camden St between 62nd St and 63rd St,1,[ 2141 ],1,"LINESTRING (-122.1834228 37.7736695, -122.1827343 37.7730424)"
MacArthur Blvd between 64th Ave and 64th Ave Pl,1,[ 2154 ],1,"LINESTRING (-122.1797356 37.7739401, -122.1793341 37.7736338)"
29th Avenue between E. 7th and Chapman,3,[1974 2029 2127],3,"LINESTRING (-122.23423488314099 37.77394527371279, -122.2337173 37.7745239)"
High Street Between Bond Street and Foothill,1,[ 1144 ],1,"LINESTRING (-122.21249656166596 37.77411681166566, -122.2117994 37.774706)"
Foothill blvd between 45th and 46th Ave,1,[ 163 ],1,"LINESTRING (-122.2108379 37.774221, -122.2095943 37.7736285)"
Bancroft Avenue between 42nd Avenue & High Street,2,[2055 2180],2,"LINESTRING (-122.21477669676965 37.77416491170243, -122.21465196129662 37.7740632357227, -122.21437958541357 37.77381663698963, -122.2140434360902 37.773601762848465, -122.2135207 37.7733722)"
Bond St between High St and 42nd Avenue,4,[ 160 1147 1287 1987],4,"LINESTRING (-122.2137361 37.7751525, -122.2125208 37.7741284)"
E 7th St between 23rd Ave and Kennedy St: 646 Kennedy St,2,[1348 1406],2,"LINESTRING (-122.236212 37.7755339, -122.23738617877162 37.77542913729659)"
29th Ave between E 9th St and E 10th St,1,[ 1701 ],1,"LINESTRING (-122.23202101548918 37.776218179979836, -122.23287973010952 37.77537534907905)"
E 12th St between Derby Ave & Fruitvale Ave,3,[601 650 694],1,"LINESTRING (-122.2284149 37.7770405, -122.22725667431827 37.77636852530939, -122.22651971842477 37.776282229608654)"
E 12th St between 30th Ave & Derby Ave,3,[602 651 695],1,"LINESTRING (-122.2292197 37.7775183, -122.2284149 37.7770405)"
E 12th St between Derby Ave and 29th Ave,2,[1694 1752],2,"LINESTRING (-122.2302807 37.7780658, -122.2284149 37.7770405)"
E 12th St between 29th Ave & 30th Ave,3,[603 652 696],1,"LINESTRING (-122.2302807 37.7780658, -122.2292197 37.7775183)"
Embarcadero between Dennison & Livingston,2,[2057 2128],1,"LINESTRING (-122.2426004 37.7793246, -122.2427375 37.7806678)"
Foothill Blvd between Crosby Ave & 36th Ave,2,[  28 1332],2,"LINESTRING (-122.218682 37.780847, -122.2189086 37.7815455)"
E 12th St between 25th Ave & 26th Ave,3,[605 654 698],1,"LINESTRING (-122.2346266 37.7813567, -122.23339354156525 37.780553207949566)"
E 15th St between Miller Ave and 24th Ave | E 15th St between Miller Ave & 24th Ave,2,[ 404 1266],2,"LINESTRING (-122.2336725 37.7833508, -122.2341293 37.7836277)"
Miller Ave between International Blvd & E 15th St,1,[ 407 ],1,"LINESTRING (-122.234097415157 37.78360249182763, -122.23415618570567 37.783522263150154, -122.23484417248302 37.78281879433742)"
Miller Ave between E 15th St & E 16th St,2,[ 406 1267],2,"LINESTRING (-122.2341041906181 37.783611270328684, -122.2333781 37.7844471)"
23rd Ave between International Blvd & E 15th St,1,[ 409 ],1,"LINESTRING (-122.2351588 37.7842401, -122.23592146108558 37.783425520306366)"
E 15th St between 23rd Ave & Miller Ave | E 15th St between 23rd Ave and Miller Ave,2,[383 405],2,"LINESTRING (-122.2351588 37.7842401, -122.2341293 37.7836277)"
23rd Ave between E 15th St and  E 16th St,1,[ 408 ],1,"LINESTRING (-122.2351588 37.7842401, -122.234321 37.7849973)"
21st Ave between E 12th St and International Blvd,1,[ 645 ],1,"LINESTRING (-122.2397998 37.7842745, -122.2389361 37.7852344)"
19th Ave between E 12th St and Solano Way,8,[201 304 390 420 557 616 665 709],4,"LINESTRING (-122.2419251053587 37.78552719381277, -122.24142636883128 37.78604106878683)"
23rd Ave between Foothill Blvd and E 17th St,2,[1458 2174],2,"LINESTRING (-122.2333334 37.7857668, -122.2341056 37.7851775)"
Solano Way between 19th Ave and 20th Ave,4,[558 617 666 710],1,"LINESTRING (-122.2414492 37.786054, -122.2403925 37.7854188)"
18th Ave between E 12th St and Solano Way | 18th Ave between E12th St & Solano Way,6,[ 555  614  663  707 1251 1292],3,"LINESTRING (-122.24286517090678 37.78627453167756, -122.24248669910469 37.78666012242043)"
19th Ave between Solano Way and International Blvd,8,[200 303 389 419 556 615 664 708],4,"LINESTRING (-122.24101235147478 37.786505774066256, -122.24142810212497 37.78604962314582)"
Solano Way between 18th Ave and 19th Ave,4,[559 618 667 711],1,"LINESTRING (-122.242501 37.786681, -122.2414492 37.786054)"
17th Ave between E 12th St and Solano Way | 17th Ave between Solano Way & E 12th St,13,[ 354  553  612  661  705 1294 1325 1401 1452 1596 1633 1687 1721],10,"LINESTRING (-122.2439286 37.7869004, -122.2435277 37.78729879999999)"
18th Ave between Solano Way and International Blvd | 18th Ave between Solano Way & International Blvd,5,[ 554  613  662  706 1293],2,"LINESTRING (-122.2421333 37.7870667, -122.242501 37.786681)"
22nd Ave between E 17th St and Foothill Blvd,1,[ 2173 ],1,"LINESTRING (-122.2355317 37.7870834, -122.2363193 37.7862534)"
Solano Way between 17th Ave and 18th Ave,5,[ 560  619  668  712 1250],2,"LINESTRING (-122.2435277 37.78729879999999, -122.242501 37.786681)"
16th Ave between E 12th St and Solano Way,4,[551 610 659 703],1,"LINESTRING (-122.2449903 37.7875255, -122.2446032 37.7879331)"
17th Ave between Solano Way and International Blvd,5,[353 552 611 660 704],2,"LINESTRING (-122.243174 37.7876897, -122.2435277 37.78729879999999)"
Solano Way between 16th Ave and 17th Ave,4,[561 620 669 713],1,"LINESTRING (-122.2446032 37.7879331, -122.2435277 37.78729879999999)"
15th Ave between E 12th St and Solano Way,4,[549 608 657 701],1,"LINESTRING (-122.2460501 37.7881525, -122.245632 37.7885759)"
16th Ave between Solano Way and International Blvd,4,[550 609 658 702],1,"LINESTRING (-122.2441731 37.7883842, -122.2446032 37.7879331)"
E 12th St between 14th Ave and 16th Ave (Behind Burger King),1,[ 1453 ],1,"LINESTRING (-122.2466588 37.7885138, -122.2449903 37.7875255)"
Solano Way between 15th Ave and 16th Ave,4,[562 621 670 714],1,"LINESTRING (-122.245632 37.7885759, -122.2446032 37.7879331)"
Solano Way between 14th Ave and 15th Ave,4,[563 622 671 715],1,"LINESTRING (-122.2463783 37.78898450000001, -122.245632 37.7885759)"
15th Ave between Solano Way and International Blvd,4,[548 607 656 700],1,"LINESTRING (-122.2452283 37.7890026, -122.245632 37.7885759)"
16th Ave between Foothill Blvd and E 15th St,1,[ 2169 ],1,"LINESTRING (-122.24341110745927 37.7892302430784, -122.24334187057762 37.78926150926874, -122.2426313 37.7900165)"
E 8th St between 11th Ave and 12th Ave,4,[565 624 673 717],1,"LINESTRING (-122.25090303144033 37.78979659572374, -122.2498321 37.7893464)"
E 15th St between 15th Ave and 16th Ave,1,[ 2168 ],1,"LINESTRING (-122.2444647 37.7898126, -122.24349687317812 37.78924035241867, -122.24341301545527 37.78922909897901)"
15th Ave between Gleason Way and E 15th St,1,[ 2167 ],1,"LINESTRING (-122.2444647 37.7898126, -122.2440693 37.7902337)"
12th Ave between E. 8th St and E. 12th St | 12th Ave between E 8th St and E 12th St,4,[569 628 677 721],1,"LINESTRING (-122.2489991 37.7899472, -122.2498321 37.7893464)"
E 11th St between 11th Ave and E 8th St,3,[639 688 732],1,"LINESTRING (-122.2507604 37.7899971, -122.25067364652702 37.78994851358157, -122.25042306726606 37.789723236325756, -122.25034926376206 37.78964741466942, -122.25031236201009 37.78954942964444)"
11th Ave between E 8th St and E 11th St,4,[571 630 679 723],1,"LINESTRING (-122.2507604 37.7899971, -122.2509847 37.7896886)"
11th Ave between E 11th St and E 12th St,4,[570 629 678 722],1,"LINESTRING (-122.2507604 37.7899971, -122.2498264 37.7906826)"
E 8th St between 10th Ave and 11th Ave,4,[566 625 674 718],1,"LINESTRING (-122.2522723 37.7901625, -122.2509847 37.7896886)"
E 8th St between 9th Ave and 10th Ave,4,[567 626 675 719],1,"LINESTRING (-122.2522723 37.7901625, -122.2533789 37.790494)"
Foothill Blvd between 15th Ave and 16th Ave,1,[ 2170 ],1,"LINESTRING (-122.2436622 37.7906559, -122.2426313 37.7900165)"
15th Ave between Foothill Blvd and Gleason Way,1,[ 2166 ],1,"LINESTRING (-122.2436622 37.7906559, -122.2440693 37.7902337)"
E 11th St between 10th Ave and 11th Ave,4,[580 640 689 733],1,"LINESTRING (-122.2516137 37.7907347, -122.2507604 37.7899971)"
10th Ave between E 8th St and E 11th St,4,[573 632 681 725],1,"LINESTRING (-122.2516137 37.7907347, -122.25214085623261 37.79034818991902, -122.25224012819218 37.790151057668275)"
10th Ave between E 11th St and E 12th St,4,[572 631 680 724],1,"LINESTRING (-122.2516137 37.7907347, -122.2506595 37.7914123)"
E 11th St between 9th Ave and 10th Ave,4,[581 641 690 734],1,"LINESTRING (-122.2516137 37.7907347, -122.2524465 37.7914698)"
E 10th St between 9th Ave and E 8th St,4,[584 643 692 736],1,"LINESTRING (-122.2533656 37.7908451, -122.25327388701939 37.79080011526874, -122.25312456343728 37.790667563305966, -122.25285864472949 37.79051238021812)"
9th Ave between E 8th St & E 10th St,4,[576 635 684 728],1,"LINESTRING (-122.2533656 37.7908451, -122.25340345757373 37.790750774596134, -122.25340345757373 37.790587542715116, -122.2533789 37.790494)"
9th Ave between E 10th St & E 11th St,4,[575 634 683 727],1,"LINESTRING (-122.2533656 37.7908451, -122.25324628399105 37.790890353425894, -122.2524465 37.7914698)"
E 8th St between 8th Ave and 9th Ave,4,[568 627 676 720],1,"LINESTRING (-122.2549159 37.79098219999999, -122.25491157785096 37.79097806208581, -122.2533789 37.790494)"
9th Ave between E 11th St & E 12th St,4,[574 633 682 726],1,"LINESTRING (-122.2524465 37.7914698, -122.2514851 37.7921426)"
E 10th St between 8th Ave and 9th Ave,4,[583 644 693 737],1,"LINESTRING (-122.2541821 37.7915543, -122.2533656 37.7908451)"
8th Ave between E 8th St & E 10th St,4,[579 638 687 731],1,"LINESTRING (-122.2541821 37.7915543, -122.25478995671375 37.791103595089545, -122.25486441863448 37.79097217772103)"
8th Ave between E 10th St & E 11th St,4,[578 637 686 730],1,"LINESTRING (-122.2541821 37.7915543, -122.2532709 37.7921973)"
E 11th St between 8th Ave and 9th Ave,4,[582 642 691 735],1,"LINESTRING (-122.2532709 37.7921973, -122.2524465 37.7914698)"
8th Ave between E 11th St & E 12th St,4,[577 636 685 729],1,"LINESTRING (-122.2532709 37.7921973, -122.2523094 37.7928833)"
Oak St between Fallon St and 2nd St,1,[ 83 ],1,"LINESTRING (-122.2680899 37.7928174, -122.26833549855175 37.79235670619318)"
Oak St between 2nd St and 3rd St,1,[ 85 ],1,"LINESTRING (-122.2680899 37.7928174, -122.2676386 37.7934867)"
Oak St between 3rd St and 4th St,1,[ 84 ],1,"LINESTRING (-122.2676386 37.7934867, -122.2670115 37.7944874)"
7th Ave between E 12th St and International Blvd,1,[ 1998 ],1,"LINESTRING (-122.2531546 37.7936132, -122.252202 37.7942899)"
5th Ave between E 8th St & E 10th St,3,[1053 1067 1069],2,"LINESTRING (-122.256684 37.7937513, -122.2580012 37.79280809999999)"
E 10th St between 5th Ave & 6th Ave,1,[ 852 ],1,"LINESTRING (-122.256684 37.7937513, -122.2558468 37.7930202)"
Fallon St between 4th St and Victory Ct,1,[ 87 ],1,"LINESTRING (-122.2658393 37.7940124, -122.2666565 37.7927375)"
E 12th St between 6th Ave and 7th Ave,1,[ 1996 ],1,"LINESTRING (-122.2539786 37.7943449, -122.2531546 37.7936132)"
6th Ave between International Blvd and E 12th St,5,[1183 1218 1474 1566 1997],5,"LINESTRING (-122.2539786 37.7943449, -122.2530373 37.7950159)"
E 10th St between 4th Ave & 5th Ave,1,[ 853 ],1,"LINESTRING (-122.2575246 37.7944797, -122.256684 37.7937513)"
International Blvd between 6th Ave and 7th Ave,1,[ 1999 ],1,"LINESTRING (-122.2530373 37.7950159, -122.252202 37.7942899)"
Embarcadero West between Washington St and Broadway,2,[311 359],1,"LINESTRING (-122.2766899 37.7954334, -122.27799593506 37.795921243529584)"
Franklin st between Embarcadero West and 2nd St,2,[324 372],1,"LINESTRING (-122.2751419 37.7955888, -122.275534 37.7949513)"
Franklin st between 2nd St and 3rd St,2,[323 371],1,"LINESTRING (-122.2751419 37.7955888, -122.2746861 37.7962582)"
10th St and E 10th St between East Dr & 2nd Ave,1,[ 855 ],1,"LINESTRING (-122.259181 37.7959428, -122.25957314506206 37.79626041088947, -122.25983839771403 37.796433994351005, -122.26099569963269 37.79689266339808)"
Broadway between Embarcadero West and 2nd St,2,[327 375],1,"LINESTRING (-122.2763202 37.7960525, -122.2766899 37.7954334)"
2nd St between Broadway and Franklin St,2,[313 361],1,"LINESTRING (-122.2763202 37.7960525, -122.2751419 37.7955888)"
2nd St between Washington St & Broadway,2,[314 362],1,"LINESTRING (-122.2763202 37.7960525, -122.2775995 37.796554)"
Broadway between 2nd St and 3rd St,2,[326 374],1,"LINESTRING (-122.2763202 37.7960525, -122.2758902 37.7967373)"
4th st between Harrison st and Webster St,1,[ 309 ],1,"LINESTRING (-122.2720927 37.7961072, -122.273109 37.7965057)"
Harrison St between 4th St and 5th St,2,[1076 1564],2,"LINESTRING (-122.2720927 37.7961072, -122.27192686295103 37.79636402658868, -122.27177854339236 37.796458171764044, -122.2716379 37.796723)"
Franklin st between 3rd St and 4th St,2,[322 370],1,"LINESTRING (-122.2746861 37.7962582, -122.2742912 37.7969769)"
Embarcadero West between Clay St and Washington St,2,[310 358],1,"LINESTRING (-122.2791813 37.7963811, -122.27799607538735 37.79592011665972)"
Washington St between 2nd St & Embarcadero West,2,[330 378],1,"LINESTRING (-122.2775995 37.796554, -122.27798403169807 37.795919981738905)"
Washington St between 2nd St & 3rd St,2,[329 377],1,"LINESTRING (-122.2775995 37.796554, -122.277167 37.797238)"
5th St between Harrison St and Webster St,2,[1075 1565],2,"LINESTRING (-122.2716379 37.796723, -122.2727012 37.7971385)"
3rd St between Broadway and Franklin St,2,[316 364],1,"LINESTRING (-122.2758902 37.7967373, -122.2746861 37.7962582)"
3rd St between Washington St & Broadway,2,[317 365],1,"LINESTRING (-122.2758902 37.7967373, -122.277167 37.797238)"
Broadway between 3rd St & 4th St,2,[325 373],1,"LINESTRING (-122.27599585462323 37.7967687366357, -122.2755601 37.797473)"
4th st between Webster St & Franklin St,1,[ 308 ],1,"LINESTRING (-122.2742912 37.7969769, -122.273109 37.7965057)"
6th St between Alice St and Jackson St,6,[1063 1747 1766 1787 1982 2106],6,"LINESTRING (-122.2698515 37.7969815, -122.2686737 37.7965148)"
6th Street between Harrison St and Alice St,1,[ 1981 ],1,"LINESTRING (-122.2698515 37.7969815, -122.27101373062479 37.79741648173567)"
Clay st between Embarcadero West and 2nd St,2,[333 381],1,"LINESTRING (-122.2787613 37.7970103, -122.2791813 37.7963811)"
2ndSt between Clay St and Washington St,2,[315 363],1,"LINESTRING (-122.2787613 37.7970103, -122.2775995 37.796554)"
Clay st between 2nd St and 3rd St,2,[332 380],1,"LINESTRING (-122.2787613 37.7970103, -122.2783397 37.7976981)"
Webster Place between 5th St and 6th St,1,[ 1074 ],1,"LINESTRING (-122.27204481902331 37.79688645611174, -122.27157254766989 37.79761789177082)"
Webster St between 5th St and 6th St,1,[ 2033 ],1,"LINESTRING (-122.2727012 37.7971385, -122.2721874 37.7978593)"
Washington St between 3rd St & 4th St,2,[328 376],1,"LINESTRING (-122.277167 37.797238, -122.2767344 37.7979315)"
4th St between Broadway and Franklin St,2,[319 367],1,"LINESTRING (-122.2755601 37.797473, -122.2742912 37.7969769)"
4th St between Washington St & Broadway,2,[320 368],1,"LINESTRING (-122.2755601 37.797473, -122.2767344 37.7979315)"
Broadway between 4th St and 5th St,1,[ 307 ],1,"LINESTRING (-122.2755601 37.797473, -122.275123581007 37.798157002563926)"
Jefferson St between 2nd St and Embarcadero West,3,[ 906 1372 1424],3,"LINESTRING (-122.2799576 37.7974785, -122.2804657 37.79669430000001)"
2nd St between MLK and Jefferson St,1,[ 1562 ],1,"LINESTRING (-122.2799576 37.7974785, -122.2811381 37.7979388)"
East Dr between E 10th St and Lake Merritt Blvd,2,[1966 2001],2,"LINESTRING (-122.2605691 37.7975484, -122.26037771420792 37.797840230052, -122.26036 37.798179)"
3rd St between Clay St and Washington St,2,[318 366],1,"LINESTRING (-122.2783397 37.7976981, -122.277167 37.797238)"
Clay st between 3rd St and 4th St,2,[331 379],1,"LINESTRING (-122.2783397 37.7976981, -122.2779222 37.7983946)"
Washington St between 4th St and 5th St,2,[ 13 823],2,"LINESTRING (-122.2767344 37.7979315, -122.2763061 37.7986105)"
MLK Way between 2nd St & 3rd St,1,[ 967 ],1,"LINESTRING (-122.2811381 37.7979388, -122.2807044 37.7986394)"
Broadway between 5th and 6th,4,[ 306  760 1271 2120],4,"LINESTRING (-122.2750291 37.7981014, -122.27465 37.7988)"
5th St between Washingston St & Broadway,1,[ 821 ],1,"LINESTRING (-122.2750291 37.7981014, -122.2763061 37.7986105)"
6th St between Franklin St and Webster St,1,[ 590 ],1,"LINESTRING (-122.2734094 37.7983628, -122.2721874 37.7978593)"
4th St between Clay St and Washington St | 4th St between Clay St & Washington st,3,[321 369 969],2,"LINESTRING (-122.2779222 37.7983946, -122.2767344 37.7979315)"
4th St between Jefferson St & Clay St,1,[ 970 ],1,"LINESTRING (-122.2779222 37.7983946, -122.2790774 37.7988524)"
Castro St between 2nd St St and 3rd St,2,[900 972],2,"LINESTRING (-122.2823129 37.7984047, -122.2818803 37.7990919)"
MLK Way between 3rd St & 4th St,1,[ 966 ],1,"LINESTRING (-122.2807044 37.7986394, -122.2802737 37.7993171)"
6th St between Franklin and Broadway,1,[ 1072 ],1,"LINESTRING (-122.27441599123954 37.79904775230275, -122.27433934505062 37.79879385250224, -122.27400328099161 37.798635455854374, -122.2734094 37.7983628)"
6th St between Broadway and Washington St,1,[ 2186 ],1,"LINESTRING (-122.27465 37.7988, -122.2758717 37.7993126)"
4th St between MLK & Jefferson St,1,[ 971 ],1,"LINESTRING (-122.2790774 37.7988524, -122.2802737 37.7993171)"
5th St between Clay St and Washingston St,1,[ 822 ],1,"LINESTRING (-122.2774829 37.7990831, -122.2763061 37.7986105)"
Castro St between 3rd St and 4th St,2,[899 973],2,"LINESTRING (-122.2818803 37.7990919, -122.281436 37.7997807)"
MLK Way between 4th St & 5th St,1,[ 965 ],1,"LINESTRING (-122.2802737 37.7993171, -122.2798479 37.8000096)"
Castro St between 4th St and 5th St,2,[898 974],2,"LINESTRING (-122.281436 37.7997807, -122.281029 37.8004724)"
14th Avenue between East 33rd and MacArthur,1,[ 2096 ],1,"LINESTRING (-122.2275311 37.80010559999999, -122.2258755 37.8009869)"
