location,num_postings,posting_ids,number_of_sweeps,geometry
Telegraph Ave between 34th St and 35th St.,1,[ 1488 ],1,"LINESTRING (-122.26627202619594 37.822459189724576, -122.26578781796097 37.824205013736446)"
33rd St between 34th St and Telegraph Ave,1,[ 905 ],1,"LINESTRING (-122.267816 37.822858, -122.26812407647057 37.822262551322105, -122.26811528209706 37.82208193369214, -122.26797324192653 37.822012348089345, -122.26648392581122 37.82167206896923)"
MLK between 34th St and 35th St,1,[ 1763 ],1,"LINESTRING (-122.2700306 37.8233854, -122.2698461 37.8241896)"
Webster St between 36th St and 37th St,11,[ 809 1808 1819 1829 1852 1860 1922 1955 1979 1985 2099],11,"LINESTRING (-122.2620364 37.8237873, -122.2618291 37.8245505)"
MLK between 35th St and 36th St,7,[1416 1748 1762 1861 1928 1983 2040],7,"LINESTRING (-122.2698461 37.8241896, -122.2696238 37.8250905)"
W MacArthur Blvd between Manila Ave & Broadway,1,[ 801 ],1,"LINESTRING (-122.258559 37.8244698, -122.259761 37.8248656)"
Webster St between 37th St and W MacArthur Blvd,10,[ 808 1807 1818 1831 1851 1859 1921 1954 1978 2161],10,"LINESTRING (-122.2618291 37.8245505, -122.2616579 37.825184)"
Beach St between 34th St and Shellmound St: 3400 Beach St/ 3502 Beach St (Fencing line),1,[ 1235 ],1,"LINESTRING (-122.28958124750919 37.824797754469735, -122.28934293451123 37.8239711771936)"
West between 35th and 36th St,9,[ 199  231 1253 1481 1541 1594 1764 2011 2041],8,"LINESTRING (-122.2723816 37.8248026, -122.2721637 37.8256541)"
W MacArthur Blvd between Shafter St & Manila Ave,1,[ 802 ],1,"LINESTRING (-122.259761 37.8248656, -122.2605708 37.82506679999999)"
W MacArthur Blvd between Webster St and Shafter St,1,[ 803 ],1,"LINESTRING (-122.2605708 37.82506679999999, -122.26163080249472 37.82531184899805)"
34th St between Chestnut St and San Pablo Ave,1,[ 395 ],1,"LINESTRING (-122.2793069 37.8252616, -122.27823653249577 37.8250153130665, -122.27821922574319 37.82504948902057, -122.27805769605246 37.8251132840925)"
Chestnut St between 35th St and 34th St,1,[ 394 ],1,"LINESTRING (-122.2793069 37.8252616, -122.2788429 37.8265258)"
W MacArthur Blvd between Ruby St and Webster St | W Macarthur Blvd between Ruby and Webster St,2,[ 804 2160],2,"LINESTRING (-122.2624964 37.8253801, -122.2616579 37.825184)"
34th St between Adeline St and Chestnut St,1,[ 396 ],1,"LINESTRING (-122.2804184 37.8255176, -122.2793069 37.8252616)"
Market between 35th and 36th,5,[1255 1377 1415 1608 1665],5,"LINESTRING (-122.2752257 37.8255586, -122.2750301 37.8263158)"
W MacArthur Blvd between Latimer Pl and Ruby St,1,[ 805 ],1,"LINESTRING (-122.2636064 37.8256352, -122.2624964 37.8253801)"
W MacArthur Blvd between Telegraph Ave and Latimer Pl,1,[ 806 ],1,"LINESTRING (-122.2636064 37.8256352, -122.26396954403191 37.825737324217684, -122.26520101359733 37.82632367674322)"
34th St between Peralta St and Fitzgerald St,3,[1585 1638 1951],3,"LINESTRING (-122.2830957 37.826119, -122.28232 37.8259526)"
MLK between W MacArthur Blvd and 37th St,1,[ 532 ],1,"LINESTRING (-122.2693181 37.8263044, -122.26905750555234 37.82725923935314)"
35th St between Chestnut St and San Pablo Ave,1,[ 397 ],1,"LINESTRING (-122.2788429 37.8265258, -122.27847187123096 37.826408900206935)"
Webster St between W MacArthur Blvd and 38th St,1,[ 807 ],1,"LINESTRING (-122.2613637 37.8266524, -122.2616579 37.825184)"
35th St between Adeline St and Chestnut St,1,[ 398 ],1,"LINESTRING (-122.2799356 37.8267777, -122.2788429 37.8265258)"
35th St between Magnolia and Adeline St,1,[ 2032 ],1,"LINESTRING (-122.2799356 37.8267777, -122.2810091 37.8270211)"
Magnolia St between 35th St and 36th St,1,[ 393 ],1,"LINESTRING (-122.2810091 37.8270211, -122.2808503 37.8274998)"
Peralta St between Harlan St and 35th St,1,[ 392 ],1,"LINESTRING (-122.2813947 37.82711, -122.2819893 37.8263661)"
Peralta St between 35th St and 36th St,1,[ 391 ],1,"LINESTRING (-122.2813947 37.82711, -122.2810494 37.8275529)"
Dover St between 44th and 45th,1,[ 2118 ],1,"LINESTRING (-122.26536027101001 37.8325035968766, -122.26539984878436 37.83246296015233, -122.26546317322331 37.831878417756734, -122.2654275532264 37.83181589957932)"
46th St between Dover and Shuttuck Ave,1,[ 541 ],1,"LINESTRING (-122.2651008 37.833966, -122.26503212828213 37.83392355308058, -122.2636504 37.8337081)"
Dover street between 46th St. and 47th St.,2,[1939 2031],2,"LINESTRING (-122.2651008 37.833966, -122.26498832518291 37.834512652730176, -122.26496263658069 37.83458704382317, -122.2649398022676 37.83460958656381)"
47th St between Dover and Shuttuck Ave,1,[ 540 ],1,"LINESTRING (-122.26494101338452 37.834609516496506, -122.26487986219578 37.83462536647816, -122.26373814654181 37.834447278677445)"
Lowell St between Aileen St & 57th St,1,[ 1108 ],1,"LINESTRING (-122.2767091 37.8414361, -122.2765618 37.8406814)"
Lowell St between 57th St & Arlinton Ave,1,[ 1107 ],1,"LINESTRING (-122.2767091 37.8414361, -122.2768274 37.8421238)"
Frog Park the pathway between Clifton and Cavour,4,[1480 1775 1990 2049],4,"LINESTRING (-122.25827360728816 37.84065068057733, -122.25807594518336 37.840933970960805, -122.25786081260402 37.84119653370089, -122.2578151784205 37.84147968854952, -122.2577760634061 37.84172680461998, -122.25752181581232 37.84227766454706)"
Arlington Ave between Grace Lowell St and Los Angeles St,1,[ 1112 ],1,"LINESTRING (-122.2768274 37.8421238, -122.2785971 37.84177469999999)"
Lowell St between Arlington Ave & Grace Ave,1,[ 1106 ],1,"LINESTRING (-122.2768274 37.8421238, -122.2769419 37.8428138)"
59th St between Herzog St and San Pablo Ave,1,[ 16 ],1,"LINESTRING (-122.2821195 37.84228, -122.28335169112005 37.84204023498822)"
Grace Ave between Lowell St and Los Angeles St,1,[ 1111 ],1,"LINESTRING (-122.2788278 37.8424373, -122.2769419 37.8428138)"
San Pablo Ave between 59th St & 60th St,1,[ 17 ],1,"LINESTRING (-122.283669 37.8425257, -122.2838363 37.84305070000001)"
Stanford Ave between Los Angeles and Lowell St,1,[ 1109 ],1,"LINESTRING (-122.27887392690734 37.842595170435516, -122.277038 37.8433695)"
Lowell St between Grace Ave & Stanford Ave,1,[ 1105 ],1,"LINESTRING (-122.2769419 37.8428138, -122.27703572497447 37.84336791987026)"
Stanford Ave between Lowell St and Market St,1,[ 1110 ],1,"LINESTRING (-122.27698257452587 37.84360075818042, -122.2752789 37.8444015)"
San Pablo Ave between 61st St and 62nd St,1,[ 543 ],1,"LINESTRING (-122.283984 37.843989, -122.2842352 37.8447555)"
San Pablo Ave between 61st St & 63rd St,1,[ 1040 ],1,"LINESTRING (-122.283984 37.843989, -122.28451885185115 37.84567308233203)"
61st Pl between Baker St & Lowell St,2,[1104 1215],2,"LINESTRING (-122.2789409 37.8446027, -122.2771603 37.8448221)"
Baker St between 61st Pl & 62nd St,1,[ 1036 ],1,"LINESTRING (-122.2789409 37.8446027, -122.2791667 37.8457274)"
San Pablo Ave between 62nd St and 63rd St,1,[ 542 ],1,"LINESTRING (-122.2842352 37.8447555, -122.28451112203383 37.84566087438033)"
Lowell St between Stanford Ave and 61st Pl,1,[ 1216 ],1,"LINESTRING (-122.27716378624595 37.84482505476725, -122.27697586298069 37.84360075818042)"
61st St between Bakers St & Lowell St,1,[ 1103 ],1,"LINESTRING (-122.2790234 37.8450401, -122.2772342 37.8452506)"
Hezrog St between 62nd St & 63rd St,1,[ 1038 ],1,"LINESTRING (-122.282701 37.8452912, -122.2829586 37.8462985)"
63rd St between Hezrog St & San Pablo Ave,1,[ 1039 ],1,"LINESTRING (-122.2829586 37.8462985, -122.28465740751925 37.8460718990192)"
Bigge Street between 98th Ave & Adams Ave,2,[1598 1993],1,"LINESTRING (-122.19387486437968 37.72951483271191, -122.19377051768713 37.72935727779761, -122.1902237 37.7277186)"
85th Ave between Railroad Ave and Edes Ave,1,[ 112 ],1,"LINESTRING (-122.1928476 37.7390188, -122.19081 37.74556)"
E St between 98th Ave and 100th Ave,1,[ 1153 ],1,"LINESTRING (-122.1753335 37.7396017, -122.17693533601583 37.74131278964298)"
Enterprise Way between Edes Ave and 85th Ave,1,[ 1181 ],1,"LINESTRING (-122.19196423356567 37.74185093990478, -122.19239688122238 37.74195473136942, -122.19272258226734 37.742154625632004, -122.19329134379358 37.74265435892671, -122.19413233305889 37.743392420390684, -122.1948615145028 37.74401515402638, -122.19495873869532 37.74406128223541, -122.1952255 37.7441248)"
San Leandro St between 92nd Ave & 98th Ave,3,[  76 1077 1102],1,"LINESTRING (-122.1847161 37.7433473, -122.1797471 37.739198)"
85th Avenue between Baldwin St and Enterprise Way,1,[ 2098 ],1,"LINESTRING (-122.1913028 37.744086, -122.1919697 37.7418989)"
Baldwin between Hegenberger and 85th Ave,1,[ 1014 ],1,"LINESTRING (-122.1913028 37.744086, -122.19607593660402 37.748293880949575)"
Foothill between 106th Ave and 108th Ave,2,[  99 1268],2,"LINESTRING (-122.149494 37.7446207, -122.1472784 37.743237)"
Foothill Blvd between MacArthur and Frazier Ave,1,[ 96 ],1,"LINESTRING (-122.15278 37.74512, -122.15502171543409 37.745185476649205)"
Foothill Blvd between Frazier Ave and Talbot Ave,1,[ 97 ],1,"LINESTRING (-122.15276656546571 37.74513011961058, -122.1501876 37.7450458)"
San Leandro St between 85th Ave and 92nd Ave,3,[1460 1542 1973],1,"LINESTRING (-122.1891113 37.7470322, -122.1847161 37.7433473)"
San Leandro St between 81st Ave and 85th Ave: 8451 San Leandro St (Pick-n-Pull) | San Leandro St between 81st Ave and 85th Ave: 8451 San Leandro Street (Pick-n-Pull),4,[1305 1419 1543 2080],1,"LINESTRING (-122.1923831 37.7497641, -122.18912281895756 37.74704993407147)"
77th Ave between Rudsdale St and Hamilton St,1,[ 2139 ],1,"LINESTRING (-122.1886736 37.7547976, -122.1868985 37.7559413)"
San Leandro Street between Seminary & 66th Avenue,3,[1012 2050 2054],1,"LINESTRING (-122.2007795 37.7568157, -122.2055739 37.760882)"
81st Ave between International Blvd & Holly St,1,[ 1134 ],1,"LINESTRING (-122.178013 37.7573975, -122.1806982 37.7560947)"
71st Ave Between Oral St and International Blvd (1430 71st Ave),1,[ 1306 ],1,"LINESTRING (-122.18911 37.76016, -122.18595 37.76219)"
San Leandro St between 54th Ave & Seminary Ave,1,[ 817 ],1,"LINESTRING (-122.2096529 37.7643037, -122.2055739 37.760882)"
50th Ave between International Blvd & E 12th St,3,[436 464 491],1,"LINESTRING (-122.2106631 37.7676667, -122.20877807755598 37.76931828293296)"
Church St between Foohill Blvd and Bancroft Ave,1,[ 38 ],1,"LINESTRING (-122.1795993 37.7680617, -122.17761674542601 37.76934003758149, -122.17752219520884 37.76945214798796, -122.1774401 37.7698448)"
68th Ave between Foothill Blvd and Bancroft Ave,4,[ 120  911 1196 1210],4,"LINESTRING (-122.1801748 37.7686245, -122.17877688343911 37.76951643784215, -122.17855897232938 37.76972150254579, -122.1784863352928 37.76996757943952)"
49th Ave between International Blvd and San Leandro St,3,[434 462 489],1,"LINESTRING (-122.20941877523771 37.769692707807906, -122.21136115551965 37.768258453363536, -122.21149667042303 37.76837152837549, -122.21230975984336 37.767693075710284, -122.2124528033525 37.7674014581113, -122.21293756817619 37.767054926090246)"
47th St between International Blvd and San Leandro St,1,[ 478 ],1,"LINESTRING (-122.2111374 37.7705346, -122.2142213 37.7682105)"
Trask St between Foothill Blvd and Bancroft Ave,2,[889 994],2,"LINESTRING (-122.1942772 37.7712582, -122.1959321 37.7726081)"
Bancroft between Cole St and Trask St,1,[ 885 ],1,"LINESTRING (-122.1985941 37.7717701, -122.1981044580466 37.771740244734495, -122.1942772 37.7712582)"
64th Ave between Camden St and MacArthur Blvd,1,[ 2155 ],1,"LINESTRING (-122.182042 37.7724113, -122.17979029610744 37.773827729699114, -122.1797356 37.7739401)"
MacArthur Blvd between 66th Ave and 68th Ave,1,[ 2152 ],1,"LINESTRING (-122.177978 37.7725965, -122.17774986462214 37.772403598888765, -122.17686570731632 37.771437236864635, -122.1764229 37.7712242)"
62nd Ave between Foothill Blvd and Brann St,1,[ 2145 ],1,"LINESTRING (-122.1845379 37.7727474, -122.1855673005033 37.771851392206685, -122.1867127 37.7710647)"
41st Ave between International blvd and San Leandro St,3,[460 488 515],1,"LINESTRING (-122.217238 37.7734256, -122.2187894 37.7714139)"
Kennedy St between E7th St and 23rd Ave: 401 Kennedy St,3,[1349 1399 1407],3,"LINESTRING (-122.2359995043381 37.773759436007616, -122.23673940088962 37.77371611446916, -122.23703714299305 37.77381472080007, -122.23721896346932 37.774062686066046, -122.2374216 37.7754256)"
Brann St between Camden St and 67th Ave,1,[ 2149 ],1,"LINESTRING (-122.17959927854376 37.770111212690516, -122.17945774189886 37.77078249640773, -122.1816964 37.7711153)"
E 12th St between 26th Ave & 29th Ave,3,[604 653 697],1,"LINESTRING (-122.2336372 37.7803386, -122.23192204875726 37.77899927937509, -122.2302807 37.7780658)"
36th Ave between Foothill Blvd and Harper St,2,[  26 1331],2,"LINESTRING (-122.218682 37.780847, -122.21593676021874 37.78271656879252)"
Foothill Blvd between Crosby Ave and Harrington Ave,1,[ 27 ],1,"LINESTRING (-122.2189086 37.7815455, -122.21869106042035 37.7807573223065, -122.2176488 37.7798958)"
Crosby Ave between Foothill Blvd and Harper St,1,[ 29 ],1,"LINESTRING (-122.2189086 37.7815455, -122.2166837 37.7832022)"
Foothill Blvd between E 15th St and 23rd Ave,1,[ 2172 ],1,"LINESTRING (-122.2341056 37.7851775, -122.23645763376136 37.7863150395174, -122.2436622 37.7906559)"
Foothill Blvd between 22nd Ave and 23rd Ave,2,[1456 2171],2,"LINESTRING (-122.2363193 37.7862534, -122.23547058544914 37.78575097209466, -122.2341056 37.7851775)"
E 17th St between 22nd Ave and 23rd Ave,2,[1457 2175],2,"LINESTRING (-122.2355317 37.7870834, -122.2333334 37.7857668)"
E 8th St between 12th Ave and E 12th St | E. 8th between 12th Ave to E. 12th st,5,[ 564  623  672  716 1631],2,"LINESTRING (-122.2498321 37.7893464, -122.24766298406603 37.788414776107054, -122.24731130758256 37.788332267814724)"
15th Ave (Median) between Foothill Blvd and E. 19th Street  (1740 15th Ave),2,[1243 1249],2,"LINESTRING (-122.2422640679724 37.7921670114941, -122.2438031569986 37.79101908324872)"
7th St & E 8th St between Fallon St & 6th Ave,4,[ 848 1051 1065 1070],1,"LINESTRING (-122.25681963028023 37.79229478301422, -122.2576151356152 37.79265224302499, -122.25869140753899 37.792800157006326, -122.26079715695514 37.793428788022716, -122.26201381217328 37.79415602137032, -122.26340204697355 37.795142088915526, -122.26458750590413 37.79580767706844)"
5th Ave between Embarcadero & E 8th St,4,[ 119 1052 1066 1068],1,"LINESTRING (-122.2580012 37.79280809999999, -122.25880252100585 37.79221566861621, -122.25974160753798 37.791106415730326, -122.26004412736948 37.79021212512408)"
Fallon St between Oak St and Fallon St,1,[ 88 ],1,"LINESTRING (-122.26708106161905 37.7920499595721, -122.2681938 37.7923536)"
Fallon St between Victory Ct and Fallon St,1,[ 86 ],1,"LINESTRING (-122.26704979040905 37.79204845777563, -122.2666565 37.7927375)"
E 10th St between 2nd Ave & 4th Ave,1,[ 854 ],1,"LINESTRING (-122.259181 37.7959428, -122.2575246 37.7944797)"
Embarcadero West between Clay St and Franklin St,2,[312 360],1,"LINESTRING (-122.2791813 37.7963811, -122.275534 37.7949513)"
10th St between Fallon St & East Dr,1,[ 856 ],1,"LINESTRING (-122.2610086 37.7968996, -122.2634207 37.7978455)"
Lakeshore Ave between Hanover and E18th St,1,[ 1030 ],1,"LINESTRING (-122.2543363 37.8005807, -122.25437334006236 37.801548552356046, -122.2542659608134 37.80214898772435, -122.2539788 37.802527)"
City Lot - 11th St between Clay & Broadway,1,[ 2082 ],1,"LINESTRING (-122.2724389 37.802253, -122.2749121 37.8032202)"
Lakeshore Ave between Wayne Ave & Hanover,1,[ 1031 ],1,"LINESTRING (-122.2539788 37.802527, -122.25377313415085 37.80278884158532, -122.25331169325618 37.803728066791784, -122.2528402210377 37.80403321333884, -122.25121013092064 37.80430269235802)"
Peralta St between 3rd St and 7th St,1,[ 925 ],1,"LINESTRING (-122.3001363 37.8036056, -122.2982615 37.8059656)"
5th St. between Mandela Pkwy & Union,3,[ 266  302 2078],2,"LINESTRING (-122.294107 37.8038374, -122.29266374295979 37.80348757965061, -122.29234200348512 37.80343673722214, -122.29171282406803 37.80352712373744, -122.29125523903741 37.803549720348975, -122.2910783 37.8035108)"
Mandela Pkwy between 8th St and Dr Huey P. Newton Wy,1,[ 949 ],1,"LINESTRING (-122.29328812901245 37.80604238770265, -122.29309907207907 37.80693861464033)"
Lakeshore Ave between Boden Ave & Brooklyn Ave,1,[ 1033 ],1,"LINESTRING (-122.2495873 37.8075583, -122.2505528 37.8052251)"
Mandela Pkwy between Dr Huey P. Newton Wy and 10th St,1,[ 948 ],1,"LINESTRING (-122.29274613687916 37.807892249452095, -122.29310086717514 37.80693134501559)"
MLK between San Pablo Ave & W Grand Ave,16,"[   6   11   24   44 1046 1192 1204 1357 1437 1576 1713 1743 1838 1901
 2036 2087]",12,"LINESTRING (-122.2733567 37.8105255, -122.27326563126856 37.81090485258965, -122.2730696798071 37.81093925461909, -122.27291727311484 37.811739097284956, -122.27296973461189 37.81180345140385, -122.27290589415372 37.81193695780235, -122.27292091543798 37.81203782914334, -122.27279698984277 37.81248581490437)"
San Pablo Ave between W Grand Ave & MLK,22,"[   1   18   19   39  132  179  211  239  275 1047 1193 1205 1358 1438
 1577 1606 1712 1742 1837 1900 2034 2088]",14,"LINESTRING (-122.2733567 37.8105255, -122.2741078 37.8128484)"
14th St between Mandela Pkwy and Poplar St,4,[741 765 784 832],2,"LINESTRING (-122.2917622 37.8108657, -122.2892673 37.8103323)"
W Grand Ave between Northgate Ave and Telegraph Ave,7,[ 130  177  209  237  273  893 1000],3,"LINESTRING (-122.27135729196499 37.8123725502194, -122.2689962 37.8119546)"
18th St between Poplar St and Adeline St,2,[874 950],2,"LINESTRING (-122.2851836 37.8123801, -122.28602663310005 37.81275471290339, -122.2882144 37.8132527)"
Poplar St between 18th St and 20th St,2,[869 957],2,"LINESTRING (-122.2882144 37.8132527, -122.28769665039546 37.81461779078285)"
23rd St between MLK to Northgate,21,"[ 135  182  214  242  278  346  399  413  421  595  894 1004 1187 1199
 1352 1432 1524 1624 1711 1836 1899]",13,"LINESTRING (-122.27259029237707 37.813261427865136, -122.27103382083868 37.81298600113944)"
W. Grand Between West St and Isabella St | W Grand Ave between Isabella St and West St,4,[1157 1470 1484 1571],4,"LINESTRING (-122.27808258473384 37.814201015669134, -122.275913 37.8133732)"
21st St between Adeline St & Union St,1,[ 858 ],1,"LINESTRING (-122.2843658 37.81441909999999, -122.2865704 37.8149188)"
18th St between Campbell St and Wood St,11,[1308 1334 1340 1345 1361 1498 1505 1512 1519 1616 1655],7,"LINESTRING (-122.2930937 37.8147282, -122.2956661 37.8160204)"
West St between West Grand Ave and San Pablo Ave,6,[1159 1468 1482 1569 1674 1738],6,"LINESTRING (-122.27476612143067 37.81494981247867, -122.27498183526572 37.81489559018359, -122.2750700818346 37.814717430933605, -122.275913 37.8133732)"
W Grand between Linden St & Adeline St,1,[ 861 ],1,"LINESTRING (-122.2840492 37.8155365, -122.2818505 37.815015)"
Mead Avenue between Market Street and San Pablo Avenue,1,[ 537 ],1,"LINESTRING (-122.27815253624932 37.81595541557691, -122.27802121642652 37.815889895169754, -122.2751364 37.8164683)"
20th St between Wood St and Campbell St,9,[1338 1343 1359 1496 1503 1510 1517 1614 1653],5,"LINESTRING (-122.2920219 37.8160751, -122.294575 37.8173623)"
Northgate between Sycamore St & 27th St,1,[ 824 ],1,"LINESTRING (-122.26978502485953 37.81669126473534, -122.2701533 37.8153793)"
Milton St between Market St and San Pablo Ave,2,[352 538],2,"LINESTRING (-122.2778545949879 37.8167651372113, -122.2776736828577 37.816773446290796, -122.2755910897307 37.81719056087981, -122.2753652 37.8171819)"
29th St. between MLK and Telegraph,16,"[ 596 1101 1178 1290 1329 1379 1431 1495 1581 1622 1726 1756 1850 1933
 1963 2187]",16,"LINESTRING (-122.27114014505703 37.81912713683847, -122.2673989 37.8182783)"
30th St. between MLK and Telegraph,14,[1100 1137 1179 1252 1378 1429 1494 1551 1625 1934 1964 2037 2077 2188],14,"LINESTRING (-122.270985 37.8196584, -122.2671784 37.8190595)"
Wood St between W Grand Ave and 24th St,14,[ 149  167  820 1247 1273 1724 1759 1791 1805 1854 1893 2024 2122 2181],13,"LINESTRING (-122.292254 37.82025429999999, -122.2934637 37.8187247)"
Poplar St between 28th St and 30th St,1,[ 951 ],1,"LINESTRING (-122.2854123 37.8209968, -122.28500327585097 37.82215185870464, -122.28485218504628 37.82235779454151, -122.2847329 37.822736)"
28th St between Ettie St & Hannah St,2,[196 228],1,"LINESTRING (-122.28735 37.8214383, -122.28609873888742 37.82113990261916)"
Telegraph Ave between 34th St and 36th St.,6,[ 198  230 1390 1730 1767 2179],5,"LINESTRING (-122.2662655 37.8224943, -122.2657079 37.82460469999999)"
Wood St between 32nd St and 34th St,2,[152 170],1,"LINESTRING (-122.29011951434654 37.822829411962125, -122.2907179 37.8245801)"
34th St between MLK & Telegraph Ave (Overpass),2,[ 902 1013],2,"LINESTRING (-122.2700306 37.8233854, -122.2662655 37.8224943)"
33rd street between Market and West,1,[ 1943 ],1,"LINESTRING (-122.2756239 37.8239731, -122.2727604 37.82329319999999)"
Beach St/Wood St between 34th St and Halleck St,2,[148 166],1,"LINESTRING (-122.2907179 37.8245801, -122.29109483166592 37.8257756116966, -122.29116452843178 37.826388062944126, -122.29096598872066 37.82704463551593, -122.29097069227532 37.8274072434615, -122.29087285877627 37.828514827584925, -122.29074539249851 37.82874135549288, -122.29056056639574 37.82886217009278, -122.28983400861256 37.82910379869916, -122.2898782 37.8292548)"
36th St between Telegraph St and Webster St,1,[ 811 ],1,"LINESTRING (-122.2657079 37.82460469999999, -122.2620364 37.8237873)"
35th St between West St and Market St,1,[ 1254 ],1,"LINESTRING (-122.2752257 37.8255586, -122.27494715135855 37.82542219048065, -122.2723816 37.8248026)"
37th St between MLK and West St,1,[ 533 ],1,"LINESTRING (-122.2693181 37.8263044, -122.2719075 37.8267092)"
W MacArthur Blvd between Dover St & MLK | W. MacArthur between MLK and Dover St,2,[1096 1272],2,"LINESTRING (-122.2667788 37.826879, -122.2690752 37.8272468)"
Clarke St between 40th and 38th,1,[ 1288 ],1,"LINESTRING (-122.2637714 37.8269109, -122.2632338 37.8289016)"
42nd between MLK & Telegraph,17,"[ 382 1017 1027 1029 1056 1217 1234 1328 1376 1430 1491 1539 1546 1593
 1657 1731 1849]",15,"LINESTRING (-122.26802 37.83148, -122.264 37.83087)"
45th St between Telegraph Ave and Webster St,1,[ 1550 ],1,"LINESTRING (-122.2634074 37.8330838, -122.2601038 37.8333418)"
45th between Telegraph & MLK,5,[1057 1337 1374 1658 1727],5,"LINESTRING (-122.2674828 37.8335916, -122.26363083156009 37.83297457964159, -122.2634074 37.8330838)"
60th St between Idaho St & Lowell St,1,[ 1214 ],1,"LINESTRING (-122.280581 37.8434822, -122.2770091 37.8439599)"
61st St between San Pablo Ave & Baker St,1,[ 1041 ],1,"LINESTRING (-122.27892450700965 37.84458894550953, -122.283984 37.843989)"
Miles Ave between Presley Way and College Ave,1,[ 2065 ],1,"LINESTRING (-122.2518561 37.8450868, -122.2513848800789 37.84512141552398, -122.24840822135762 37.846315777430746, -122.24808446139929 37.84649130502631, -122.2475021 37.8469075)"
62nd St between Herzog St & Baker St,1,[ 1037 ],1,"LINESTRING (-122.2791667 37.8457274, -122.28269091417607 37.84526077535448)"
